Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution
Accounts Payable,,CCBFIAP18-2506,Task,Closed,04.11.2022 11:10:23,Invoice Verification|,,04.11.2022 16:29:53,10.11.2022 10:26:59,319,0,0,1,0,0,8275,279646,Done
Accounts Payable,,CCBFIAP18-2505,Task,Closed,04.11.2022 10:34:00,Document Management|,,09.11.2022 09:42:18,09.11.2022 10:52:38,7148,0,0,0,0,0,70,281061,Done
Accounts Payable,,CCBFIAP18-2504,Task,Resolved,04.11.2022 09:59:11,Automatic invoice procedure|,,14.11.2022 09:34:53,14.11.2022 09:34:53,14375,0,0,0,0,0,273938,0,Done
Accounts Payable,,CCBFIAP18-2503,Defect,In Progress,03.11.2022 07:26:47,,,27.01.2023 09:10:53,,122504,0,0,167402,0,0,0,0,
Accounts Payable,,CCBFIAP18-2502,Task,Resolved,03.11.2022 15:31:59,Future Lab|,,21.02.2023 10:00:04,21.02.2023 10:00:42,158068,0,0,0,0,0,131353,0,Done
Accounts Payable,,CCBFIAP18-2501,Task,Closed,03.11.2022 13:34:38,Automatic invoice procedure|,,10.11.2022 09:49:27,24.01.2023 09:10:18,117763,0,0,0,0,0,50,171723,Duplicate
Accounts Payable,,CCBFIAP18-2500,Task,Closed,03.11.2022 12:39:19,Invoice Verification|,,09.11.2022 17:02:42,05.12.2022 09:03:38,8903,0,0,36846,0,0,114,243730,Done
Accounts Payable,,CCBFIAP18-2499,Task,Closed,03.11.2022 08:20:07,Invoice Verification|,,03.11.2022 09:37:21,23.12.2022 13:41:41,77,0,0,0,0,0,72244,217532,Done
Accounts Payable,,CCBFIAP18-2498,Task,Closed,03.11.2022 08:12:21,Invoice Verification|,,03.11.2022 16:18:12,10.11.2022 10:26:34,485,0,0,0,0,8,9720,279647,Done
Accounts Payable,,CCBFIAP18-2497,Task,Closed,02.11.2022 22:51:37,Invoice Verification|,,02.11.2022 22:52:05,13.03.2023 14:00:02,0,0,0,0,0,188107,0,102313,Done
Accounts Payable,,CCBFIAP18-2496,Task,Closed,02.11.2022 22:41:01,Invoice Verification|,,02.11.2022 22:41:25,21.12.2022 12:56:10,0,0,0,0,0,20980,48994,220457,Done
Accounts Payable,,CCBFIAP18-2495,Task,In Progress,02.11.2022 22:32:44,Invoice Verification|,,30.01.2023 22:55:26,01.02.2023 16:05:21,128182,0,0,148294,0,2469,11494,0,
Accounts Payable,,CCBFIAP18-2494,Defect,Resolved,02.11.2022 16:17:11,Future Lab|,,02.11.2022 16:18:38,06.02.2023 17:13:26,1,0,0,138294,0,0,152520,0,Fixed
Accounts Payable,,CCBFIAP18-2493,Story,Closed,02.11.2022 15:38:33,,,02.11.2022 15:38:42,07.12.2022 10:26:40,0,10019,0,30254,0,9742,70,240767,Done
Accounts Payable,,CCBFIAP18-2492,Task,Resolved,02.11.2022 13:33:49,Document Management|,,06.12.2022 09:41:04,06.12.2022 09:41:04,48727,0,0,0,0,0,242252,0,Won't Do
Accounts Payable,,CCBFIAP18-2491,Task,Closed,02.11.2022 11:55:16,A1 - BMW AG|Automatic invoice procedure|,,11.11.2022 14:24:20,21.11.2022 08:40:59,13109,0,0,8898,0,0,5158,263912,Done
Accounts Payable,,CCBFIAP18-2490,Task,Closed,02.11.2022 09:27:56,Invoice Verification|,,02.11.2022 09:28:42,21.12.2022 12:54:38,0,0,0,0,0,70765,0,220459,Done
Accounts Payable,,CCBFIAP18-2489,Task,Closed,02.11.2022 08:39:32,A1 - BMW AG|Invoice Verification|,,02.11.2022 09:05:28,04.11.2022 06:40:41,25,0,0,0,0,1869,865,288513,Done
Accounts Payable,,CCBFIAP18-2488,Defect,In Progress,31.10.2022 07:05:33,,,27.01.2023 09:13:09,,126847,0,0,167400,0,0,0,0,
Accounts Payable,,CCBFIAP18-2487,Task,Closed,31.10.2022 12:12:07,A1 - BMW AG|Invoice Verification|,,02.11.2022 09:06:03,07.11.2022 06:51:50,2693,0,0,0,0,3270,3795,284182,Done
Accounts Payable,,CCBFIAP18-2486,Task,Closed,28.10.2022 16:54:31,Invoice Verification|,,28.10.2022 16:54:55,23.02.2023 17:02:07,0,169926,0,0,0,0,0,128051,Won't Do
Accounts Payable,,CCBFIAP18-2485,Task,New,28.10.2022 13:58:44,Invoice Verification|,,09.11.2022 09:03:30,,144990,125597,0,27565,0,0,0,0,
Accounts Payable,,CCBFIAP18-2484,Task,Resolved,28.10.2022 10:47:12,A1 - BMW AG|Invoice Verification|,,31.10.2022 08:09:09,28.02.2023 16:57:40,4161,0,1303,137127,0,0,146880,8874,Done
Accounts Payable,,CCBFIAP18-2483,Task,Closed,28.10.2022 09:44:40,Automatic invoice procedure|,,03.11.2022 09:59:46,08.12.2022 08:54:43,8655,0,0,0,0,0,50334,239419,Done
Accounts Payable,,CCBFIAP18-2482,Task,Resolved,28.10.2022 09:16:42,Accounts Payable Accounting|B1 - BMW Bank GmbH - DE|,,03.11.2022 09:27:22,05.01.2023 15:54:33,8650,0,20238,70868,0,0,198679,0,Done
Accounts Payable,,CCBFIAP18-2481,Task,Closed,27.10.2022 16:58:49,A1 - BMW AG|Accounts Payable Accounting|,,27.10.2022 18:02:36,10.11.2022 11:57:20,63,18979,0,0,814,0,0,279556,Done
Accounts Payable,,CCBFIAP18-2480,Task,Closed,27.10.2022 15:35:24,A1 - BMW AG|Accounts Payable Accounting|,,27.10.2022 15:46:11,25.01.2023 19:35:46,10,0,8295,2,0,0,121532,169658,Done
Accounts Payable,,CCBFIAP18-2479,Task,Closed,27.10.2022 13:40:00,A1 - BMW AG|Invoice Verification|,,31.10.2022 08:14:04,04.01.2023 08:03:29,5434,0,0,0,0,0,93589,200590,Rejected
Accounts Payable,,CCBFIAP18-2478,Task,Closed,27.10.2022 10:46:04,Document Management|,,15.11.2022 08:55:58,18.01.2023 14:31:26,27249,2,0,0,0,0,92493,180042,Done
Accounts Payable,,CCBFIAP18-2477,Story,Closed,27.10.2022 08:29:04,TBB|,,27.02.2023 16:38:23,27.02.2023 16:38:25,177609,0,0,0,0,0,0,122315,Won't Do
Accounts Payable,,CCBFIAP18-2476,Task,Closed,26.10.2022 17:19:33,A1 - BMW AG|Invoice Verification|,,30.11.2022 07:14:55,01.12.2022 18:23:26,49795,0,0,0,0,0,2108,248930,Done
Accounts Payable,,CCBFIAP18-2475,Task,New,26.10.2022 15:56:59,Invoice Verification|,,26.10.2022 16:05:11,,119448,181465,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2474,Task,Resolved,26.10.2022 14:14:30,A1 - BMW AG|Invoice Verification|,,26.10.2022 14:15:54,23.03.2023 09:59:58,1,212864,0,0,0,0,88153,0,Done
Accounts Payable,,CCBFIAP18-2473,Task,Resolved,26.10.2022 13:51:35,A1 - BMW AG|Invoice Verification|,,04.11.2022 16:35:31,04.11.2022 16:35:31,13123,0,0,0,0,0,287918,0,Done
Accounts Payable,,CCBFIAP18-2472,Task,Closed,26.10.2022 12:14:02,Invoice Verification|,,26.10.2022 20:49:57,28.10.2022 06:55:31,515,0,0,0,0,0,2045,298578,Done
Accounts Payable,,CCBFIAP18-2471,Defect,Closed,25.10.2022 14:53:32,,,18.11.2022 12:37:43,25.01.2023 19:41:34,34424,0,8700,111,0,0,89532,169652,Fixed
Accounts Payable,,CCBFIAP18-2470,Task,New,25.10.2022 22:21:14,Prozess-MGMT agile Transformation|,,,,301972,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2469,Task,Resolved,25.10.2022 18:01:32,Invoice Verification|,,26.10.2022 20:30:56,17.11.2022 17:31:57,1589,0,0,0,0,31501,269141,0,Done
Accounts Payable,,CCBFIAP18-2468,Task,In Specification,25.10.2022 17:53:31,Automatic invoice procedure|,,27.10.2022 07:46:19,,2272,299967,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2464,Epic,New,25.10.2022 14:56:12,,,,,302417,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2463,Epic,New,25.10.2022 14:53:14,,,,,302420,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2459,Epic,New,25.10.2022 14:46:19,,,,,302427,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2458,Task,Resolved,25.10.2022 14:05:52,Invoice Verification|,,25.10.2022 14:29:33,16.02.2023 17:59:22,23,3025,0,20068,141275,0,138074,0,Done
Accounts Payable,,CCBFIAP18-2457,Story,In Progress,25.10.2022 13:21:42,Automatic invoice procedure|Invoice Verification|,,25.10.2022 13:22:41,,0,0,0,302511,0,0,0,0,
Accounts Payable,,CCBFIAP18-2456,Task,Closed,25.10.2022 13:19:12,Invoice Verification|,,26.10.2022 20:19:23,27.01.2023 09:52:14,1860,0,0,0,0,101839,31453,167361,Done
Accounts Payable,,CCBFIAP18-2455,Task,Closed,25.10.2022 11:35:08,Invoice Verification|,,26.10.2022 19:54:08,10.11.2022 10:26:43,1939,0,0,0,0,0,21032,279647,Done
Accounts Payable,,CCBFIAP18-2454,Task,Resolved,25.10.2022 10:24:21,MPM Rollout Test MGMT|,,26.10.2022 08:33:21,26.10.2022 08:33:25,1329,0,0,0,0,0,301360,0,Done
Accounts Payable,,CCBFIAP18-2453,Task,Resolved,25.10.2022 10:22:06,MPM Rollout Test MGMT|MU - BMW (UK) Manufacturing|,,25.10.2022 13:04:36,25.10.2022 13:04:41,162,0,0,0,0,0,302529,0,Done
Accounts Payable,,CCBFIAP18-2452,Task,Closed,25.10.2022 09:59:47,Future Lab|,,10.11.2022 14:01:07,20.12.2022 15:45:08,23281,1271,0,11,0,0,56421,221728,Done
Accounts Payable,,CCBFIAP18-2451,Task,Resolved,24.10.2022 20:10:43,A1 - BMW AG|Invoice Verification|,,23.11.2022 08:08:57,23.11.2022 08:11:09,42478,0,0,2,0,0,261062,0,Done
Accounts Payable,,CCBFIAP18-2450,Task,Closed,24.10.2022 16:27:01,A1 - BMW AG|Accounts Payable Accounting|,,27.10.2022 10:02:04,19.01.2023 11:35:59,3935,0,0,0,0,0,121053,178777,Done
Accounts Payable,,CCBFIAP18-2449,Task,New,24.10.2022 16:19:56,Future Lab|,,,,303773,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2448,Task,Closed,24.10.2022 13:17:41,Invoice Verification|,,26.10.2022 19:47:40,23.12.2022 13:41:49,3269,0,0,0,0,0,83154,217532,Done
Accounts Payable,,CCBFIAP18-2447,Task,Closed,24.10.2022 11:11:51,Automatic invoice procedure|,,24.10.2022 11:12:41,20.12.2022 16:03:09,0,0,56037,26333,0,0,0,221710,Done
Accounts Payable,,CCBFIAP18-2446,Task,Closed,24.10.2022 09:54:27,A1 - BMW AG|Accounts Payable Accounting|,,24.10.2022 16:10:20,25.01.2023 19:35:44,375,0,0,63369,0,0,70755,169658,Done
Accounts Payable,,CCBFIAP18-2445,Task,In Review,24.10.2022 09:30:04,A1 - BMW AG|,,21.03.2023 14:33:35,,213423,0,0,0,90759,0,0,0,
Accounts Payable,,CCBFIAP18-2444,Task,Open,21.10.2022 15:55:59,Invoice Verification|,,21.10.2022 15:57:38,,1,54290,243435,1,0,10389,0,0,
Accounts Payable,,CCBFIAP18-2443,Sub-task,Closed,21.10.2022 14:51:28,,,02.11.2022 15:22:55,08.12.2022 16:17:29,17311,0,0,0,51894,0,0,238976,Done
Accounts Payable,,CCBFIAP18-2442,Task,Closed,21.10.2022 14:21:55,Future Lab|,,24.10.2022 08:28:30,25.01.2023 16:16:38,3966,10300,0,226,12461,0,111399,169857,Done
Accounts Payable,,CCBFIAP18-2441,Task,In Progress,21.10.2022 10:34:16,Accounts Payable Accounting|,,27.10.2022 09:59:02,,8604,0,0,299834,0,0,0,0,
Accounts Payable,,CCBFIAP18-2440,Task,Closed,21.10.2022 10:11:50,Invoice Verification|,,21.10.2022 10:13:52,21.10.2022 13:35:38,2,0,0,0,0,201,0,308258,Done
Accounts Payable,,CCBFIAP18-2439,Task,In Specification,21.10.2022 08:25:51,A1 - BMW AG|Invoice Verification|,,21.10.2022 08:27:23,,1,308566,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2438,Task,New,21.10.2022 08:22:29,A1 - BMW AG|Invoice Verification|,,,,308571,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2437,Defect,Pending,21.10.2022 07:44:05,Future Lab|,,21.10.2022 08:04:06,,20,0,40212,237776,0,30600,0,0,
Accounts Payable,,CCBFIAP18-2436,Task,Open,21.10.2022 07:11:12,A1 - BMW AG|Invoice Verification|,,26.10.2022 19:36:48,26.10.2022 19:36:48,7945,0,294201,0,0,0,6495,0,
Accounts Payable,,CCBFIAP18-2435,Task,In Progress,20.10.2022 17:17:00,Automatic invoice procedure|,,21.10.2022 15:21:21,,1324,0,0,308151,0,0,0,0,
Accounts Payable,,CCBFIAP18-2434,Task,Closed,20.10.2022 16:48:22,Future Lab|,,20.10.2022 16:48:49,20.12.2022 15:40:39,0,9499,0,1692,0,0,76580,221733,Done
Accounts Payable,,CCBFIAP18-2433,Task,Resolved,20.10.2022 16:32:45,A1 - BMW AG|Accounts Payable Accounting|MU - BMW (UK) Manufacturing|,,20.10.2022 17:35:28,30.01.2023 18:54:49,62,146958,0,1,0,0,162499,0,Won't Do
Accounts Payable,,CCBFIAP18-2432,Story,Closed,20.10.2022 16:32:19,,,20.10.2022 16:35:43,10.01.2023 13:13:39,3,1324,17044,0,0,0,99508,191640,Done
Accounts Payable,,CCBFIAP18-2431,Task,Closed,20.10.2022 14:59:37,Invoice Verification|,,20.10.2022 14:59:45,06.04.2023 08:18:51,59959,181558,0,0,0,0,0,68095,Duplicate
Accounts Payable,,CCBFIAP18-2430,Task,New,20.10.2022 13:38:55,Automatic invoice procedure|,,21.10.2022 15:18:43,02.02.2023 12:26:48,94035,0,7066,65982,0,142521,87,0,
Accounts Payable,,CCBFIAP18-2429,Task,Closed,20.10.2022 12:30:13,A1 - BMW AG|Invoice Verification|,,11.11.2022 14:41:13,09.01.2023 13:27:55,31811,0,0,28685,0,0,56201,193065,Done
Accounts Payable,,CCBFIAP18-2428,Task,Closed,20.10.2022 12:22:29,Automatic invoice procedure|,,20.10.2022 12:59:20,01.03.2023 08:41:59,36,0,8647,0,0,142520,38655,119911,Done
Accounts Payable,,CCBFIAP18-2426,Task,Resolved,20.10.2022 11:09:30,Accounts Payable Accounting|,,20.01.2023 14:53:38,20.01.2023 14:53:38,132704,0,0,0,0,0,177140,0,Duplicate
Accounts Payable,,CCBFIAP18-2425,Task,Closed,20.10.2022 10:19:32,Automatic invoice procedure|,,21.10.2022 14:25:25,20.04.2023 11:02:08,1685,0,96217,30,0,142519,108,69331,Done
Accounts Payable,,CCBFIAP18-2424,Task,Closed,20.10.2022 09:19:41,A1 - BMW AG|Invoice Verification|,,17.11.2022 10:01:55,09.02.2023 11:14:44,40362,0,94,120721,0,0,216,148559,Done
Accounts Payable,,CCBFIAP18-2423,Task,Closed,20.10.2022 07:18:37,Invoice Verification|,,21.10.2022 11:26:28,24.10.2022 07:26:29,1687,0,0,0,0,0,4080,304307,Rejected
Accounts Payable,,CCBFIAP18-2422,Task,Resolved,19.10.2022 18:06:26,Automatic invoice procedure|,,19.10.2022 18:06:36,13.03.2023 09:45:39,0,0,0,208289,9,0,102568,0,Done
Accounts Payable,,CCBFIAP18-2421,Task,Closed,19.10.2022 18:02:24,Automatic invoice procedure|,,19.10.2022 18:02:31,02.12.2022 18:32:14,0,0,0,2660,0,0,60729,247481,Done
Accounts Payable,,CCBFIAP18-2420,Task,Closed,19.10.2022 17:58:48,Automatic invoice procedure|,,19.10.2022 17:59:21,17.01.2023 13:39:43,0,0,129340,0,0,0,0,181534,Done
Accounts Payable,,CCBFIAP18-2419,Task,Closed,19.10.2022 17:54:20,Automatic invoice procedure|,,19.10.2022 17:54:32,06.12.2022 08:51:52,0,0,0,68577,0,0,0,242301,Done
Accounts Payable,,CCBFIAP18-2418,Task,Closed,19.10.2022 14:59:20,A1 - BMW AG|Document Management|,,26.10.2022 10:54:15,26.10.2022 10:55:33,9834,1,0,0,0,0,0,301218,Done
Accounts Payable,,CCBFIAP18-2417,Task,Pending,19.10.2022 14:40:23,Invoice Verification|UH - BMW Manufacturing Hungary|,,21.10.2022 10:22:53,,2622,47268,63,0,0,261118,0,0,
Accounts Payable,,CCBFIAP18-2416,Task,New,19.10.2022 14:36:35,Future Lab|,,,,311077,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2415,Task,Closed,19.10.2022 14:20:31,A1 - BMW AG|Future Lab|,,26.10.2022 15:12:07,30.11.2022 09:47:35,10131,0,0,50015,0,0,59,250886,Done
Accounts Payable,,CCBFIAP18-2414,Task,Closed,19.10.2022 14:13:32,Accounts Payable Accounting|,,11.11.2022 14:32:33,25.01.2023 19:35:47,33139,0,0,0,0,0,108303,169658,Done
Accounts Payable,,CCBFIAP18-2413,Task,In Specification,19.10.2022 14:07:35,Future Lab|,,19.10.2022 14:09:44,,2,311104,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2412,Task,Resolved,19.10.2022 14:03:38,Accounts Payable Accounting|,,12.01.2023 17:15:28,20.01.2023 14:51:48,122591,0,0,11376,0,0,177142,0,Won't Do
Accounts Payable,,CCBFIAP18-2411,Task,Resolved,19.10.2022 13:59:25,Invoice Verification|UH - BMW Manufacturing Hungary|,,19.10.2022 13:59:44,20.12.2022 11:19:43,0,0,0,3,0,89116,221994,0,Done
Accounts Payable,,CCBFIAP18-2410,Epic,New,19.10.2022 10:15:06,TBB|,,,,311338,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2409,Task,Resolved,19.10.2022 10:15:00,,,24.02.2023 09:48:37,24.02.2023 09:48:37,184293,0,0,0,0,0,127045,0,Duplicate
Accounts Payable,,CCBFIAP18-2408,Task,Closed,19.10.2022 07:50:13,Future Lab|,,19.10.2022 07:51:00,22.03.2023 12:31:11,0,0,0,2,6,0,222031,89442,Done
Accounts Payable,,CCBFIAP18-2407,Story,Closed,18.10.2022 17:45:55,,,18.10.2022 17:47:09,16.11.2022 16:41:10,1,2,0,4129,0,0,37561,270632,Done
Accounts Payable,,CCBFIAP18-2406,Story,Closed,18.10.2022 17:43:45,,,18.10.2022 17:45:11,16.11.2022 16:41:06,1,3,0,4127,0,0,37564,270632,Done
Accounts Payable,,CCBFIAP18-2405,Task,Closed,18.10.2022 16:03:55,A1 - BMW AG|Accounts Payable Accounting|,,26.10.2022 09:42:46,07.11.2022 12:52:41,11138,0,0,12,0,0,17457,283821,Done
