,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution 
297,The APP ART,,THEAPP-1584,Feature,Done,02.03.2022 14:44:23,Griffin|Stark|,,11.04.2022 15:13:21,20.04.2022 10:36:04,0,70310,0,0,0,0,0,285369,Won't Do 
298,The APP ART,,THEAPP-1583,Feature,Done,01.03.2022 16:11:21,Android|Greatwall|Lebowski|Mario|Pikachu|Skywalker|SPECTRE|Stark|Stromberg|VICI|,,23.06.2022 09:32:28,27.09.2022 16:30:42,0,230215,1573,70630,0,0,0,54614,Done 
299,The APP ART,,THEAPP-1582,Feature,Funnel,28.02.2022 10:31:45,BOND|VICI|,,13.04.2022 11:41:30,,285328,73484,0,0,0,0,0,0, 
300,The APP ART,,THEAPP-1580,Feature,E2E Test,23.02.2022 14:49:29,Stark|,,30.03.2022 19:27:52,,0,80478,99236,157074,28965,0,0,0, 
301,The APP ART,,THEAPP-1579,Feature,Backlog,22.02.2022 17:18:45,Callahan|P&S|Pikachu|,,18.07.2022 15:26:55,,0,210128,156918,0,0,0,0,0, 
302,The APP ART,,THEAPP-1578,Feature,In Implementation,22.02.2022 16:17:16,App ART Funnel|Griffin|,,02.03.2022 12:42:32,,0,11305,109476,227400,18925,0,0,0, 
303,The APP ART,,THEAPP-1577,Feature,Done,22.02.2022 16:08:20,App ART Funnel|Griffin|,,02.03.2022 12:43:23,05.09.2022 13:40:36,0,11315,109475,159861,0,0,0,86464,Done 
304,The APP ART,,THEAPP-1576,Feature,Funnel,22.02.2022 15:58:14,2022|,,,,367127,0,0,0,0,0,0, ,
305,The APP ART,,THEAPP-1575,Feature,Funnel,21.02.2022 22:01:10,Android|iOS|VICI|,,21.02.2022 22:02:25,,367379,824,0,0,0,0,0,0, 
306,The APP ART,,THEAPP-1574,Feature,In Analysis,18.02.2022 16:01:48,BOND|,,10.03.2022 08:52:04,,0,372883,0,0,0,0,0,0, 
307,The APP ART,,THEAPP-1573,Feature,Funnel,17.02.2022 15:08:38,Android|App ART Funnel|BOND|Design|Griffin|iOS|Release 4.0|Stromberg|,,,,374376,0,0,0,0,0,0, ,
308,The APP ART,,THEAPP-1572,Feature,Funnel,17.02.2022 13:33:11,BOND|,,,,374472,0,0,0,0,0,0, ,
309,The APP ART,,THEAPP-1571,Feature,Done,17.02.2022 11:36:25,Android|App ART Funnel|C3PO|iOS|Pikachu|,,28.03.2022 16:58:53,28.03.2022 16:58:53,0,56482,0,0,0,0,0,318106,Done 
310,The APP ART,,THEAPP-1570,Feature,E2E Test,16.02.2022 17:13:27,Android|App ART Funnel|iOS|,,09.08.2022 11:09:00,,0,250195,0,125496,0,0,0,0, 
311,The APP ART,,THEAPP-1569,Feature,Done,16.02.2022 13:10:50,Greatwall|Mario|,,30.03.2022 11:53:35,07.07.2022 10:42:30,0,60402,18675,123812,0,0,0,173042,Duplicate 
312,The APP ART,,THEAPP-1556,Feature,Done,15.02.2022 17:45:49,Greatwall|,,22.02.2022 10:17:24,03.05.2022 13:03:04,0,9631,0,100964,0,0,0,266502,Done 
313,The APP ART,,THEAPP-1555,Feature,Blocker,15.02.2022 15:01:50,VICI|,,18.02.2022 11:49:13,,0,4127,40544,0,332591,0,0,0, 
314,The APP ART,,THEAPP-1554,Feature,Funnel,15.02.2022 13:44:55,BOND|,,,,377340,0,0,0,0,0,0, ,
315,The APP ART,,THEAPP-1553,Feature,Done,11.02.2022 16:35:24,Lebowski|Mario|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,15.02.2022 18:37:32,19.04.2022 11:26:24,0,5882,9634,80653,0,0,0,286758,Done 
316,The APP ART,,THEAPP-1552,Feature,Funnel,10.02.2022 09:02:08,2022|App ART Funnel|,,,,384823,0,0,0,0,0,0, ,
317,The APP ART,,THEAPP-1551,Feature,Backlog,08.02.2022 18:35:25,Stromberg|,,11.04.2022 09:33:44,,0,181294,205835,0,0,0,0,0, 
318,The APP ART,,THEAPP-1550,Feature,Funnel,08.02.2022 16:45:53,Android|iOS|,,,,387239,0,0,0,0,0,0, ,
319,The APP ART,,THEAPP-1549,Feature,Funnel,08.02.2022 16:45:17,Android|Greatwall|iOS|,,,,387240,0,0,0,0,0,0, ,
320,The APP ART,,THEAPP-1548,Feature,Done,08.02.2022 16:05:25,Pikachu|,,10.03.2022 08:51:58,17.05.2022 13:02:57,0,90347,50589,0,0,0,0,246342,Done 
321,The APP ART,,THEAPP-1547,Feature,In Implementation,08.02.2022 13:41:11,Greatwall|Mario|,,06.04.2022 10:45:23,28.09.2022 10:01:40,0,81904,251955,21822,0,0,0,31741, 
322,The APP ART,,THEAPP-1546,Feature,Done,07.02.2022 09:10:54,App ART Funnel|Greatwall|,,20.06.2022 14:38:21,11.10.2022 08:43:17,0,191847,0,162364,0,0,0,34922,Done 
323,The APP ART,,THEAPP-1545,Feature,Funnel,05.02.2022 00:35:15,Mylanta|,,,,392530,0,0,0,0,0,0, ,
324,The APP ART,,THEAPP-1543,Feature,Done,03.02.2022 15:30:35,App ART Funnel|Pikachu|,,19.05.2022 10:04:46,19.05.2022 10:04:46,0,150874,0,0,0,0,0,243640,Won't Do 
325,The APP ART,,THEAPP-1542,Feature,Done,03.02.2022 13:11:27,VICI|,,21.02.2022 22:30:46,02.09.2022 14:17:42,0,109375,62180,132346,0,3,0,90747,Done 
326,The APP ART,,THEAPP-1541,Feature,Done,01.02.2022 11:49:54,SPECTRE|,,02.02.2022 13:53:18,05.05.2022 15:11:57,0,2709,67853,63559,0,0,0,263493,Done 
327,The APP ART,,THEAPP-1539,Feature,Done,28.01.2022 13:07:42,App ART Funnel|Greatwall|,,15.07.2022 13:51:37,27.09.2022 04:05:07,0,241963,0,105973,0,0,0,55360,Done 
328,The APP ART,,THEAPP-1538,Feature,Funnel,28.01.2022 13:06:21,App ART Funnel|Greatwall|Panda|,,,,403298,0,0,0,0,0,0, ,
329,The APP ART,,THEAPP-1537,Feature,Backlog,28.01.2022 13:04:37,App ART Funnel|Greatwall|Panda|,,15.04.2022 11:10:09,,0,110765,256319,36216,0,0,0,0, 
330,The APP ART,,THEAPP-1536,Feature,Funnel,28.01.2022 13:03:30,App ART Funnel|Greatwall|Panda|,,,,403301,0,0,0,0,0,0, ,
331,The APP ART,,THEAPP-1535,Feature,Funnel,28.01.2022 13:01:53,App ART Funnel|Greatwall|Panda|,,,,403303,0,0,0,0,0,0, ,
332,The APP ART,,THEAPP-1534,Feature,Backlog,28.01.2022 12:57:09,App ART Funnel|Greatwall|Mario|Panda|,,09.06.2022 14:47:05,,0,190189,213117,0,0,0,0,0, 
333,The APP ART,,THEAPP-1533,Feature,Done,28.01.2022 12:30:36,App ART Funnel|Greatwall|,,12.04.2022 11:10:14,22.09.2022 08:26:10,0,106479,0,234555,0,0,0,62299,Done 
334,The APP ART,,THEAPP-1532,Feature,Backlog,28.01.2022 12:09:15,Pikachu|Stromberg|,,06.09.2022 13:54:22,,0,369903,33452,0,0,0,0,0, 
335,The APP ART,,THEAPP-1531,Feature,Done,27.01.2022 14:36:22,Greatwall|Release 2.0|Release 3.0|Release 3.1|,,22.02.2022 10:18:17,23.05.2022 05:01:17,0,37181,70612,58670,0,0,0,238184,Done 
336,The APP ART,,THEAPP-1530,Feature,Funnel,27.01.2022 13:21:04,Android|App ART Funnel|iOS|VICI|,,,,404724,0,0,0,0,0,0, ,
337,The APP ART,,THEAPP-1528,Feature,Completed,27.01.2022 08:54:34,Pikachu|,,27.01.2022 09:15:24,05.04.2022 08:24:55,0,20,36164,61704,0,307100,0,0, 
338,The APP ART,,THEAPP-1521,Feature,Funnel,25.01.2022 13:31:24,,,,,407593,0,0,0,0,0,0, ,
339,The APP ART,,THEAPP-1520,Feature,Backlog,21.01.2022 11:10:15,Griffin|,,27.01.2022 10:32:42,,0,319669,93824,0,0,0,0,0, 
340,The APP ART,,THEAPP-1519,Feature,E2E Test,20.01.2022 14:38:30,Stromberg|,,30.08.2022 14:42:43,,0,319684,0,24804,70238,0,0,0, 
341,The APP ART,,THEAPP-1518,Feature,Done,19.01.2022 16:01:12,App ART Funnel|Greatwall|,,12.04.2022 11:11:03,04.07.2022 10:50:25,0,119229,0,119499,0,0,0,177354,Done 
342,The APP ART,,THEAPP-1517,Feature,Backlog,19.01.2022 15:44:29,Stromberg|,,13.04.2022 12:03:28,,0,259465,156634,0,0,0,0,0, 
343,The APP ART,,THEAPP-1516,Feature,Funnel,19.01.2022 14:16:50,BOND|iOS|,,,,416188,0,0,0,0,0,0, ,
344,The APP ART,,THEAPP-1515,Feature,In Implementation,19.01.2022 03:08:52,Bullitt|,,21.02.2022 10:56:58,,0,47988,102404,266463,0,0,0,0, 
345,The APP ART,,THEAPP-1514,Feature,Done,18.01.2022 17:23:03,Android|iOS|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 3b|Release 4.0|Stromberg|,,19.01.2022 11:58:26,05.08.2022 22:35:16,0,52703,138447,95720,0,0,0,130570,Done 
346,The APP ART,,THEAPP-1513,Feature,Done,18.01.2022 13:40:04,Greatwall|Griffin|,,19.01.2022 08:46:15,19.01.2022 08:46:15,0,1146,0,0,0,0,0,416519,Duplicate 
347,The APP ART,,THEAPP-1512,Feature,E2E Test,17.01.2022 14:09:07,App ART Funnel|Greatwall|P&S|Release 2.0|Release 3.1|,,12.04.2022 14:30:57,23.05.2022 05:03:58,0,122421,58472,226307,0,0,0,11873,Done 
348,The APP ART,,THEAPP-1511,Feature,Done,17.01.2022 12:08:45,SPECTRE|,,16.03.2022 12:05:15,07.06.2022 10:27:46,0,123810,57862,21265,0,0,0,216257,Done 
