,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution,CycleDays
681,The APP ART,,THEAPP-584,Feature,Completed,23.03.2021 11:27,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,07.04.2021 14:12,Done ,2021-12-21 11:46:00,0,41963,119443,231408,0,458098,0,321,Done ,272.79
682,The APP ART,,THEAPP-583,Feature,Completed,23.03.2021 11:14,App ART Funnel|P&S|Release 3.0|Release 3.1|,,07.04.2021 14:12,Done ,2021-12-21 11:46:00,0,41977,70719,280124,0,458098,0,329,Done ,272.79
684,The APP ART,,THEAPP-572,Feature,Done,12.03.2021 10:29,App ART Funnel|Backend|CR|Griffin|P&S|,,21.04.2021 16:19,Done ,2021-08-24 13:13:00,0,57949,99170,80643,0,0,0,629372,Done ,165.11
687,The APP ART,,THEAPP-540,Feature,Done,01.03.2021 19:15,App ART Funnel|P&S|Release 3.0|Release 3.1|,,01.03.2021 19:16,Done ,2021-08-24 12:57:00,0,1,123250,129809,0,0,0,629387,Done ,175.74
693,The APP ART,,THEAPP-517,Feature,Done,05.02.2021 13:56,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,2021-08-24 12:57:00,20120,87454,79493,100870,0,0,0,629387,Done ,185.98
694,The APP ART,,THEAPP-516,Feature,Done,05.02.2021 13:34,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,2021-08-24 12:57:00,20119,48794,89237,129809,0,0,0,629387,Done ,186.0
696,The APP ART,,THEAPP-514,Feature,Done,04.02.2021 14:52,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:59,Done ,2021-08-24 12:57:00,20120,58469,80924,129809,0,0,0,629387,Done ,186.95
697,The APP ART,,THEAPP-513,Feature,Done,04.02.2021 14:33,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:49,Done ,2021-08-24 12:58:00,20120,52668,86744,129809,0,0,0,629387,Done ,186.96
698,The APP ART,,THEAPP-512,Feature,Done,04.02.2021 14:11,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:32,Done ,2021-04-28 09:51:00,0,11565,55827,50686,1179,0,0,799493,Done ,82.82
700,The APP ART,,THEAPP-503,Feature,Done,27.01.2021 12:26,App ART Funnel|PCS|,,27.01.2021 12:29,Done ,2021-08-10 08:27:00,1,4,52012,228541,0,0,0,649817,Done ,194.83
702,The APP ART,,THEAPP-500,Feature,Done,22.01.2021 10:03,Android|App ART Funnel|Backend|CR|iOS|VICI|,,01.07.2021 16:01,Done ,2021-10-05 13:18:00,0,260801,47553,60479,0,0,0,568886,Done ,256.13
