,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution ,CycleDays
337,The APP ART,,THEAPP-1528,Feature,Completed,27.01.2022 08:54:34,Pikachu|,,27.01.2022 09:15:24,05.04.2022 08:24:55,0,20,36164,61704,0,307100,0,0, ,67.98
341,The APP ART,,THEAPP-1518,Feature,Done,19.01.2022 16:01:12,App ART Funnel|Greatwall|,,12.04.2022 11:11:03,04.07.2022 10:50:25,0,119229,0,119499,0,0,0,177354,Done ,165.78
345,The APP ART,,THEAPP-1514,Feature,Done,18.01.2022 17:23:03,Android|iOS|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 3b|Release 4.0|Stromberg|,,19.01.2022 11:58:26,05.08.2022 22:35:16,0,52703,138447,95720,0,0,0,130570,Done ,199.22
346,The APP ART,,THEAPP-1513,Feature,Done,18.01.2022 13:40:04,Greatwall|Griffin|,,19.01.2022 08:46:15,19.01.2022 08:46:15,0,1146,0,0,0,0,0,416519,Duplicate ,0.8
347,The APP ART,,THEAPP-1512,Feature,E2E Test,17.01.2022 14:09:07,App ART Funnel|Greatwall|P&S|Release 2.0|Release 3.1|,,12.04.2022 14:30:57,23.05.2022 05:03:58,0,122421,58472,226307,0,0,0,11873,Done ,282.78
348,The APP ART,,THEAPP-1511,Feature,Done,17.01.2022 12:08:45,SPECTRE|,,16.03.2022 12:05:15,07.06.2022 10:27:46,0,123810,57862,21265,0,0,0,216257,Done ,140.93
350,The APP ART,,THEAPP-1508,Feature,Completed,14.01.2022 13:44:48,Android|C3PO|iOS|Mario|,,11.04.2022 15:15:06,19.10.2022 17:13:09,0,178416,222111,0,0,22892,0,0, ,278.14
353,The APP ART,,THEAPP-1505,Feature,Done,13.01.2022 12:15:12,Android|App ART Funnel|Backend|Design|iOS|,,30.05.2022 13:43:33,30.05.2022 13:43:33,0,197368,0,0,0,0,0,227581,Duplicate ,137.06
354,The APP ART,,THEAPP-1504,Feature,Done,13.01.2022 08:32:54,C3PO|Pikachu|,,18.02.2022 14:57:31,03.05.2022 13:41:43,0,52224,106484,0,0,0,0,266463,Done ,110.21
358,The APP ART,,THEAPP-1500,Feature,Done,13.01.2022 02:32:14,Bullitt|,,19.01.2022 09:23:43,18.08.2022 21:34:15,0,56661,41924,215035,0,0,0,111911,Won't Do ,217.79
359,The APP ART,,THEAPP-1499,Feature,Done,13.01.2022 02:24:18,Bullitt|,,19.01.2022 09:23:51,20.09.2022 11:08:06,0,56670,41923,261929,0,0,0,65017,Done ,250.36
361,The APP ART,,THEAPP-1497,Feature,Blocker,13.01.2022 02:06:54,Bullitt|,,19.01.2022 09:23:36,30.09.2022 11:43:34,0,56686,41924,261962,64983,0,0,0,Done ,295.52
362,The APP ART,,THEAPP-1496,Feature,Blocker,13.01.2022 01:54:16,Bullitt|,,19.01.2022 09:22:38,30.09.2022 11:43:41,0,56699,41924,261962,64983,0,0,0,Done ,295.53
363,The APP ART,,THEAPP-1495,Feature,Blocker,12.01.2022 23:54:57,Bullitt|,,13.01.2022 17:12:25,30.09.2022 11:43:51,0,56817,72817,231069,64983,0,0,0,Done ,295.62
367,The APP ART,,THEAPP-1484,Feature,Done,21.12.2021 10:12:59,SPECTRE|,,13.01.2022 12:33:32,03.05.2022 13:36:54,0,33260,57590,100871,0,0,0,266468,Done ,133.14
368,The APP ART,,THEAPP-1481,Feature,Done,15.12.2021 16:22:01,Android|iOS|,,18.05.2022 15:41:54,18.05.2022 15:41:54,0,221719,0,0,0,0,0,244743,Won't Do ,153.97
370,The APP ART,,THEAPP-1478,Feature,Done,13.12.2021 14:36:35,Skywalker|,,01.02.2022 21:10:25,31.08.2022 10:02:06,0,72393,251574,51597,0,0,0,93883,Won't Do ,260.81
371,The APP ART,,THEAPP-1477,Feature,In Implementation,13.12.2021 14:25:17,Stark|,,13.01.2022 12:33:56,05.08.2022 09:29:16,0,63051,130026,270738,0,1106,0,4534, ,322.09
372,The APP ART,,THEAPP-1476,Feature,Done,13.12.2021 11:45:22,Pikachu|,,13.01.2022 12:34:12,20.10.2022 09:58:16,0,63209,49506,335015,0,0,0,21887,Done ,310.92
375,The APP ART,,THEAPP-1472,Feature,Done,08.12.2021 08:59:16,,,31.01.2022 15:19:50,31.01.2022 15:19:50,0,78140,0,0,0,0,0,398845,Not Required ,54.26
377,The APP ART,,THEAPP-1470,Feature,Done,06.12.2021 09:48:38,SPECTRE|,,06.12.2021 16:36:14,30.03.2022 14:27:25,30184,73570,60682,0,0,0,0,315377,Won't Do ,93.23
378,The APP ART,,THEAPP-1469,Feature,Done,06.12.2021 09:44:47,VICI|,,06.12.2021 16:34:02,03.05.2022 11:47:30,0,13354,119324,80564,0,0,0,266577,Done ,148.08
