,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
551,The APP ART,,THEAPP-1198,Feature,Done,19.07.2021 15:40,App ART Funnel|Greatwall|,,30.08.2021 18:10,Done ,22.09.2022 08:35,0,60630,61390,164132,332621,0,0,62289,Done 
553,The APP ART,,THEAPP-1196,Feature,Done,19.07.2021 07:32,App ART Funnel|Greatwall|,,23.07.2021 12:37,Done ,11.02.2022 08:25,0,6064,55014,225568,11484,0,0,383420,Done 
555,The APP ART,,THEAPP-1193,Feature,Done,15.07.2021 08:35,App ART Funnel|Greatwall|,,05.08.2021 16:51,Done ,12.10.2021 09:23,0,30735,97472,0,0,0,0,559041,Done 
566,The APP ART,,THEAPP-1180,Feature,Done,07.07.2021 10:21,App ART Funnel|Greatwall|,,05.08.2021 16:50,Done ,12.10.2021 10:46,0,42148,97475,79,0,0,0,558959,Done 
567,The APP ART,,THEAPP-1179,Feature,Done,07.07.2021 10:15,App ART Funnel|Greatwall|,,05.08.2021 16:50,Done ,26.11.2021 13:19,0,42154,36042,126467,0,0,0,494005,Done 
571,The APP ART,,THEAPP-1173,Feature,Done,02.07.2021 15:19,App ART Funnel|Greatwall|,,08.09.2021 15:12,Done ,08.02.2022 11:12,0,129325,99362,60334,28969,0,0,387572,Done 
572,The APP ART,,THEAPP-1172,Feature,Done,02.07.2021 15:18,App ART Funnel|Greatwall|,,08.09.2021 15:13,Done ,08.03.2022 11:11,0,129324,99371,129617,0,0,0,347253,Done 
573,The APP ART,,THEAPP-1171,Feature,Done,02.07.2021 15:11,App ART Funnel|Greatwall|Stromberg|,,24.08.2021 11:29,Done ,16.02.2022 04:52,0,168551,51504,109084,0,0,0,376432,Done 
574,The APP ART,,THEAPP-1170,Feature,Done,02.07.2021 14:30,App ART Funnel|Greatwall|Mario|,,15.07.2021 12:13,Done ,26.11.2021 13:23,0,49091,97485,65035,0,0,0,494001,Done 
575,The APP ART,,THEAPP-1169,Feature,Done,02.07.2021 11:35,CR|SPECTRE|VICI|,,07.10.2021 15:51,Done ,12.04.2022 14:14,0,139936,198169,50470,20541,0,0,296671,Done 
576,The APP ART,,THEAPP-1168,Feature,Done,01.07.2021 17:49,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:50,Done ,05.08.2022 22:37,0,28561,237192,277512,33020,0,0,130567,Done 
577,The APP ART,,THEAPP-1167,Feature,Backlog,01.07.2021 17:44,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:51,Done ,31.01.2022 13:25,0,28567,664035,0,0,0,0,14257,Done 
578,The APP ART,,THEAPP-1165,Feature,Done,01.07.2021 08:54,Android|App ART Funnel|iOS|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Stromberg|,,28.09.2021 16:35,Done ,28.09.2021 16:35,0,128621,0,0,0,0,0,578769,Done 
580,The APP ART,,THEAPP-1162,Feature,Done,30.06.2021 16:28,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:51,Done ,19.08.2021 11:03,0,30083,41591,0,0,0,0,636701,Done 
581,The APP ART,,THEAPP-1161,Feature,Done,30.06.2021 10:57,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:52,Done ,12.05.2022 12:17,0,30415,194130,230572,0,0,0,253588,Done 
582,The APP ART,,THEAPP-1160,Feature,Done,30.06.2021 07:50,App ART Funnel|Greatwall|SPECTRE|,,30.06.2021 16:04,Done ,06.07.2022 15:27,0,72302,77555,242542,142292,0,0,174198,Done 
