Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
The APP ART,,THEAPP-515,Feature,E2E Test,04.02.2021 16:58,App ART Funnel|Mario|P&S|Release 3.0|Release 3.1|Release 4.0|,,20.04.2021 19:38, ,,0,361390,48787,500123,8284,0,0,0, 
The APP ART,,THEAPP-514,Feature,Done,04.02.2021 14:52,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:59,Done ,24.08.2021 12:57,20120,58469,80924,129809,0,0,0,629387,Done 
The APP ART,,THEAPP-513,Feature,Done,04.02.2021 14:33,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:49,Done ,24.08.2021 12:58,20120,52668,86744,129809,0,0,0,629387,Done 
The APP ART,,THEAPP-512,Feature,Done,04.02.2021 14:11,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:32,Done ,28.04.2021 09:51,0,11565,55827,50686,1179,0,0,799493,Done 
The APP ART,,THEAPP-504,Feature,Done,28.01.2021 13:33,App ART Funnel|VICI|,,10.03.2021 17:23,Won't Do ,21.07.2021 15:39,40345,180064,30275,0,0,0,0,678185,Won't Do 
The APP ART,,THEAPP-503,Feature,Done,27.01.2021 12:26,App ART Funnel|PCS|,,27.01.2021 12:29,Done ,10.08.2021 08:27,1,4,52012,228541,0,0,0,649817,Done 
The APP ART,,THEAPP-502,Feature,Funnel,26.01.2021 13:40,P&S|Stromberg|,,,,,931745,0,0,0,0,0,0, ,
The APP ART,,THEAPP-500,Feature,Done,22.01.2021 10:03,Android|App ART Funnel|Backend|CR|iOS|VICI|,,01.07.2021 16:01,Done ,05.10.2021 13:18,0,260801,47553,60479,0,0,0,568886,Done 
The APP ART,,THEAPP-499,Feature,Done,21.01.2021 16:54,App ART Funnel|CR|Lebowski|P&S|Skywalker|,,22.01.2021 10:30,Done ,22.11.2021 18:07,0,17129,422143,0,0,0,0,499477,Done 
The APP ART,,THEAPP-498,Feature,Done,21.01.2021 16:13,App ART Funnel|CR|P&S|,,22.01.2021 10:31,Done ,14.04.2021 14:14,0,17167,30170,72061,0,0,0,819391,Done 
The APP ART,,THEAPP-497,Feature,Done,21.01.2021 14:49,CR|Lebowski|VICI|,,21.01.2021 14:49,Done ,02.11.2021 13:36,0,8556,300953,100817,0,0,0,528548,Done 
The APP ART,,THEAPP-482,Feature,Funnel,20.01.2021 12:02,VICI|,,20.01.2021 12:05, ,,486929,453553,0,0,0,0,0,0, 
The APP ART,,THEAPP-480,Feature,Done,12.01.2021 18:13,App ART Funnel|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,09.02.2021 14:44,Done ,05.05.2021 15:12,0,40112,94684,27741,0,0,0,789092,Done 
The APP ART,,THEAPP-478,Feature,Done,17.12.2020 11:05,App ART Funnel|P&S|Release 3.0|Release 3.1|,,20.01.2021 15:47,Done ,06.10.2021 15:22,0,282602,0,139573,0,0,0,567323,Done 
The APP ART,,THEAPP-471,Feature,Done,10.12.2020 18:41,App ART Funnel|CR|VICI|,,28.02.2022 16:34,Won't Do ,28.02.2022 16:34,0,640672,0,0,0,0,0,358451,Won't Do 
The APP ART,,THEAPP-470,Feature,Done,07.12.2020 15:07,CR|P&S|,,09.12.2020 09:55,Done ,06.05.2021 19:04,0,2567,0,213668,0,0,0,787420,Done 
The APP ART,,THEAPP-469,Feature,Completed,07.12.2020 14:26,P&S|Release 2.0|Release 3.0|,,07.12.2020 14:28, ,09.12.2020 09:57,0,1,0,2609,0,1001087,0,0, 
The APP ART,,THEAPP-468,Feature,Done,07.12.2020 13:52,CR|Lebowski|VICI|,,14.01.2021 12:22,Done ,02.11.2021 13:36,0,73413,300952,100816,0,0,0,528549,Done 
The APP ART,,THEAPP-467,Feature,Done,04.12.2020 14:20,App ART Funnel|,,26.03.2021 12:43,Duplicate ,26.03.2021 12:43,0,161183,0,0,0,0,0,846841,Duplicate 
The APP ART,,THEAPP-466,Feature,Done,04.12.2020 14:15,App ART Funnel|,,26.03.2021 12:42,Duplicate ,26.03.2021 12:42,0,161187,0,0,0,0,0,846842,Duplicate 
The APP ART,,THEAPP-464,Feature,Done,03.12.2020 18:42,App ART Funnel|Backend|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,23.06.2021 15:58,Not Required ,01.07.2021 12:04,0,302001,0,0,0,0,0,707200,Not Required 
The APP ART,,THEAPP-463,Feature,Done,03.12.2020 18:31,Griffin|P&S|,,15.07.2021 12:53,Duplicate ,15.07.2021 12:53,0,322221,0,0,0,0,0,686991,Duplicate 
The APP ART,,THEAPP-462,Feature,Done,03.12.2020 18:28,Lebowski|P&S|Release 3.0|Release 3.1|Skywalker|,,20.01.2021 15:32,Done ,12.07.2022 10:14,116992,284462,119403,322484,0,0,0,165871,Done 
The APP ART,,THEAPP-461,Feature,Done,03.12.2020 14:50,P&S|Release 1.0|Release 2.0|Release 3.0|,,15.12.2020 13:35,Done ,24.08.2021 12:58,0,17204,50210,312631,0,0,0,629387,Done 
The APP ART,,THEAPP-460,Feature,Done,03.12.2020 14:15,App ART Funnel|P&S|Release 3.1|Release 4.0|,,20.01.2021 15:14,Done ,22.04.2021 14:37,0,110666,10406,70698,9848,0,0,807848,Done 
The APP ART,,THEAPP-457,Feature,Done,20.11.2020 17:16,CR|,,20.11.2020 17:19,Done ,08.02.2021 09:48,0,3,17117,97631,0,0,0,913256,Done 
The APP ART,,THEAPP-455,Feature,Done,19.11.2020 17:16,P&S|Release 1.0|Release 2.0|Release 3.0|,,19.11.2020 19:08,Done ,05.05.2021 15:08,0,112,86215,154023,0,0,0,789097,Done 
The APP ART,,THEAPP-454,Feature,Done,19.11.2020 16:19,CR|P&S|,,23.11.2020 12:17,Done ,14.12.2020 15:47,0,6963,19044,9958,0,0,0,993538,Done 
The APP ART,,THEAPP-453,Feature,Done,19.11.2020 16:16,CR|,,23.11.2020 12:12,Duplicate ,23.11.2020 12:12,0,5516,0,0,0,0,0,1023992,Duplicate 
The APP ART,,THEAPP-452,Feature,Done,19.11.2020 16:13,CR|Lebowski|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|VICI|,,19.11.2020 16:15,Duplicate ,14.12.2020 08:51,39206,15096,24301,5713,0,0,0,945191,Duplicate 
The APP ART,,THEAPP-451,Feature,Done,17.11.2020 15:17,App ART Funnel|Backend|CR|VICI|,,27.01.2021 13:27,Done ,06.10.2021 16:20,0,223353,58762,142750,40314,0,0,567265,Done 
The APP ART,,THEAPP-450,Feature,Done,17.11.2020 09:31,App ART Funnel|P&S|Release 3.1|,,02.02.2021 11:04,Duplicate ,02.02.2021 11:04,0,110973,0,0,0,0,0,921820,Duplicate 
The APP ART,,THEAPP-449,Feature,Funnel,17.11.2020 09:29,App ART Funnel|Griffin|P&S|Release 4.0|Stromberg|,,,,,1032795,0,0,0,0,0,0, ,
The APP ART,,THEAPP-448,Feature,Done,17.11.2020 09:29,App ART Funnel|P&S|Release 3.1|,,10.02.2021 17:55,Done ,09.09.2021 10:17,0,184474,28895,212918,0,0,0,606507,Done 
The APP ART,,THEAPP-447,Feature,Done,17.11.2020 09:18,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:39,Duplicate ,10.02.2021 18:39,0,122960,0,0,0,0,0,909846,Duplicate 
The APP ART,,THEAPP-446,Feature,Backlog,17.11.2020 09:16,App ART Funnel|BOND|Release 4.0|,,30.06.2022 14:52, ,,0,940548,92260,0,0,0,0,0, 
The APP ART,,THEAPP-445,Feature,Backlog,17.11.2020 09:11,App ART Funnel|BOND|Release 4.0|,,14.07.2022 11:17, ,,0,940484,92327,0,0,0,0,0, 
The APP ART,,THEAPP-444,Feature,Done,17.11.2020 09:10,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:21,Duplicate ,10.02.2021 18:21,0,122951,0,0,0,0,0,909863,Duplicate 
The APP ART,,THEAPP-443,Feature,Done,17.11.2020 09:07,App ART Funnel|Griffin|P&S|Release 4.0|Skywalker|,,20.11.2021 19:00,Duplicate ,20.11.2021 19:00,0,530513,0,0,0,0,0,502304,Duplicate 
The APP ART,,THEAPP-442,Feature,Done,17.11.2020 09:06,App ART Funnel|P&S|Release 3.1|,,19.05.2021 15:23,Duplicate ,19.05.2021 15:23,0,263896,0,0,0,0,0,768921,Duplicate 
The APP ART,,THEAPP-441,Feature,Completed,17.11.2020 09:04,App ART Funnel|P&S|Release 3.1|Release 3.2|Release 4.0|Stromberg|,,21.07.2021 13:33,Done ,14.12.2021 10:28,0,354508,89174,116400,75,468256,0,4401,Done 
The APP ART,,THEAPP-439,Feature,Funnel,16.11.2020 20:07,App ART Funnel|Griffin|P&S|Release 4.0|,,10.02.2021 18:46, ,,416350,123758,0,342499,150988,0,0,0, 
The APP ART,,THEAPP-438,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:20,Done ,23.04.2021 10:12,0,123793,0,103132,0,0,0,806672,Done 
The APP ART,,THEAPP-437,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:20,Duplicate ,10.02.2021 19:20,0,123792,0,0,0,0,0,909805,Duplicate 
The APP ART,,THEAPP-436,Feature,In Analysis,16.11.2020 20:07,App ART Funnel|BOND|Release 4.0|,,14.07.2022 11:17, ,,0,1033597,0,0,0,0,0,0, 
The APP ART,,THEAPP-435,Feature,Backlog,16.11.2020 20:07,App ART Funnel|BOND|Release 4.0|,,19.04.2021 09:57,Won't Do ,19.04.2021 09:57,8525,311765,92258,0,0,0,0,621048,Won't Do 
