Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution 
Group Finance Backbone,,GFBB-9137,Story,Resolved,12.02.2021 07:55:18,,,11.10.2022 16:46:51,11.10.2022 16:46:51,873171,0,0,0,0,0,296373,0,Won't Do 
Group Finance Backbone,,GFBB-9130,Story,Resolved,12.02.2021 07:52:36,,,11.10.2022 16:46:31,11.10.2022 16:46:31,873173,0,0,0,0,0,296374,0,Won't Do 
Group Finance Backbone,,GFBB-9129,Story,Closed,12.02.2021 07:52:17,,,11.10.2022 16:45:20,27.10.2022 16:47:38,873173,0,0,0,0,0,23042,273333,Done 
Group Finance Backbone,,GFBB-9128,Story,Closed,12.02.2021 07:51:56,,,11.10.2022 16:44:11,27.10.2022 16:47:18,873172,0,0,0,0,0,23043,273333,Done 
Group Finance Backbone,,GFBB-9126,Story,Resolved,12.02.2021 07:51:18,,,11.10.2022 16:36:03,11.10.2022 16:36:03,873164,0,0,0,0,0,296384,0,Won't Do 
Group Finance Backbone,,GFBB-9125,Story,Closed,12.02.2021 07:50:55,,,11.10.2022 16:32:57,27.10.2022 16:46:52,873162,0,0,2,0,0,23051,273333,Done 
Group Finance Backbone,,GFBB-9123,Story,Resolved,12.02.2021 07:49:56,,,11.10.2022 16:24:15,11.10.2022 16:24:15,873154,0,0,0,0,0,296396,0,Won't Do 
Group Finance Backbone,,GFBB-9122,Story,Resolved,12.02.2021 07:49:32,,,11.10.2022 16:23:52,11.10.2022 16:23:52,873154,0,0,0,0,0,296396,0,Won't Do 
Group Finance Backbone,,GFBB-9121,Story,Resolved,12.02.2021 07:49:12,,,11.10.2022 16:23:29,11.10.2022 16:23:29,873154,0,0,0,0,0,296397,0,Won't Do 
Group Finance Backbone,,GFBB-9120,Story,Resolved,12.02.2021 07:48:54,,,11.10.2022 15:59:42,11.10.2022 15:59:42,873130,0,0,0,0,0,296421,0,Won't Do 
Group Finance Backbone,,GFBB-9119,Story,Resolved,12.02.2021 07:48:34,,,11.10.2022 15:59:19,11.10.2022 15:59:19,873130,0,0,0,0,0,296421,0,Won't Do 
Group Finance Backbone,,GFBB-9118,Story,Closed,12.02.2021 07:48:16,,,11.10.2022 15:58:43,27.10.2022 16:46:23,873130,0,0,0,0,0,23087,273334,Done 
Group Finance Backbone,,GFBB-9117,Story,Resolved,12.02.2021 07:47:53,,,13.10.2022 14:28:09,13.10.2022 14:28:09,875920,0,0,0,0,0,293632,0,Won't Do 
Group Finance Backbone,,GFBB-9008,Story,Resolved,11.02.2021 14:40:48,,,11.10.2022 15:56:10,11.10.2022 15:56:10,874155,0,0,0,0,0,296424,0,Won't Do 
Group Finance Backbone,,GFBB-9005,Story,New,11.02.2021 14:37:38,,,,,1170583,0,0,0,0,0,0, 
